content,score,thumbsUpCount,at,texto_Traducido
Lixo cada vez pior ....exagerado em anúncio e ainda anúncio de jogos golpistas com videofake enganosos usando famosos por IA .,1,1,18/05/2024 06:38,Lixo cada vez pior ....exagerado em anúncio e ainda anúncio de jogos golpistas com videofake enganosos usando famosos por IA .
"O aplicativo já foi bom, mas de um tempo pra cá veio apresentando bastante bugs, não consigo mais olhar os ""álbuns"" quando alguem manda na conversa pois as fotos não carregam, os vídeos não abrem e nem sai do canto, já olhei as configurações do meu aparelho, e do app também mas no erro persiste, causando um constrangimento pois tenho que pedir novas fotos a pessoa Ao abrir o app existe um demora grande para ter acesso a tela inicial Preciso de soluções para resolver o problema.",2,1,18/05/2024 06:16,"O aplicativo já foi bom, mas de um tempo pra cá veio apresentando bastante bugs, não consigo mais olhar os ""álbuns"" quando alguem manda na conversa pois as fotos não carregam, os vídeos não abrem e nem sai do canto, já olhei as configurações do meu aparelho, e do app também mas no erro persiste, causando um constrangimento pois tenho que pedir novas fotos a pessoa Ao abrir o app existe um demora grande para ter acesso a tela inicial Preciso de soluções para resolver o problema."
Muito ruim toda vez que atualiza é um bug diferente uso já faz um tempo não compensa pagar assinatura chega no meio do mês app aparece um problema diferente,1,1,17/05/2024 23:46,Muito ruim toda vez que atualiza é um bug diferente uso já faz um tempo não compensa pagar assinatura chega no meio do mês app aparece um problema diferente
Não estou conseguindo abrir o app! Sempre volta a tela inicial.,1,2,17/05/2024 12:52,Não estou conseguindo abrir o app! Sempre volta a tela inicial.
"O app não carrega a página inicial, muitos Bug Já fiz de tudo e nada volta",1,0,17/05/2024 10:49,"O app não carrega a página inicial, muitos Bug Já fiz de tudo e nada volta"
Queria que os administradores vissem a questão da chamada de vídeo Pelo menos eu não consigo a pessoa me liga o aplicativo desliga e eu ligo o aplicativo desliga sozinho E também o sinal está horrível toda hora cai a mensagem demora para chegar em vez de melhorar estão piorando cada vez mais esse aplicativo Além do mais a gente denuncia bullying racismo e o próprio aplicativo parece que gosta não atende as nossas denúncias,1,2,16/05/2024 15:15,Queria que os administradores vissem a questão da chamada de vídeo Pelo menos eu não consigo a pessoa me liga o aplicativo desliga e eu ligo o aplicativo desliga sozinho E também o sinal está horrível toda hora cai a mensagem demora para chegar em vez de melhorar estão piorando cada vez mais esse aplicativo Além do mais a gente denuncia bullying racismo e o próprio aplicativo parece que gosta não atende as nossas denúncias
O desenvolvedor dessa poha tá passando fome pra colocar tanto anúncio desnecessário no app,1,0,16/05/2024 12:20,O desenvolvedor dessa poha tá passando fome pra colocar tanto anúncio desnecessário no app
Cada dia os anúncios fica piores só de pensa volta ou atualizar a página entra milhares de anúncio. Tá podre essa app. Rediculo isso,1,1,16/05/2024 09:58,Cada dia os anúncios fica piores só de pensa volta ou atualizar a página entra milhares de anúncio. Tá podre essa app. Rediculo isso
"UM LIXO! PÉSSIMO! PRINCIPALMENTE CONTRA PESSOAS ORDEIRAS, PRIVILEGIANDO O ESGOTO DA SOCIEDADE (QUE NUNCA VAI PAGAR POR ESSE SERVIÇO PORCO, POIS NÃO TEM DINHEIRO). ALÉM DE SER CÚMPLICE DE CRIMES POR EXPÔR USUÁRIOS AO QUE NÃO PRESTA, INCENTIVAR PRECONCEITOS, INCENTIVAR A PEDOFILIA. INCENTIVAR A PROSTITUIÇÃO E O USO E TRÁFICO DE DROGAS. É UM ANTRO DE PODRIDÃO! E JÁ AVISO: VOU DENUNCIAR ÀS AUTORIDADES E ESPERAR UM CONCORRENTE DECENTE. SIMPLES. O QUE JÁ ERA RUIM FICOU PIOR. INFESTADO DE ANÚNCIOS!",1,15,15/05/2024 15:32,"UM LIXO! PÉSSIMO! PRINCIPALMENTE CONTRA PESSOAS ORDEIRAS, PRIVILEGIANDO O ESGOTO DA SOCIEDADE (QUE NUNCA VAI PAGAR POR ESSE SERVIÇO PORCO, POIS NÃO TEM DINHEIRO). ALÉM DE SER CÚMPLICE DE CRIMES POR EXPÔR USUÁRIOS AO QUE NÃO PRESTA, INCENTIVAR PRECONCEITOS, INCENTIVAR A PEDOFILIA. INCENTIVAR A PROSTITUIÇÃO E O USO E TRÁFICO DE DROGAS. É UM ANTRO DE PODRIDÃO! E JÁ AVISO: VOU DENUNCIAR ÀS AUTORIDADES E ESPERAR UM CONCORRENTE DECENTE. SIMPLES. O QUE JÁ ERA RUIM FICOU PIOR. INFESTADO DE ANÚNCIOS!"
Grindr fechando sozinho ✅✅✅ RESOLVIDO ✅✅✅ !! > Configurações > Aplicativos > Ativar a opção MOSTRAR APLICATIVOS DO SISTEMA > Procurar na lista o aplicativo Mobile Services Manager e desativá-lo . Pronto ! O aplicativo Grindr está de volta ao normal . ✌🏾😉 📱 Galaxy M62,5,14,14/05/2024 23:02,Grindr fechando sozinho ✅✅✅ RESOLVIDO ✅✅✅ !! > Configurações > Aplicativos > Ativar a opção MOSTRAR APLICATIVOS DO SISTEMA > Procurar na lista o aplicativo Mobile Services Manager e desativá-lo . Pronto ! O aplicativo Grindr está de volta ao normal . ✌🏾😉 📱 Galaxy M62
"Utilizo o aplicativo pouco, as vezes que utilizo apresenta problemas, particularmente optava por pagá-lo pois detesto propagandas e tudo mais... Porém ele é o único aplicativo que meu smartphone não abre, sempre abria normalmente e já tem meses que eu abro e o grindr fecha sozinho. Formatei celular, levei em assistência imaginando ser problema nele, mas nada... infelizmente apresenta mal funcionamento mesmo.",1,1,14/05/2024 19:27,"Utilizo o aplicativo pouco, as vezes que utilizo apresenta problemas, particularmente optava por pagá-lo pois detesto propagandas e tudo mais... Porém ele é o único aplicativo que meu smartphone não abre, sempre abria normalmente e já tem meses que eu abro e o grindr fecha sozinho. Formatei celular, levei em assistência imaginando ser problema nele, mas nada... infelizmente apresenta mal funcionamento mesmo."
"Estou com problemas para carregar perfis e enviar mensagens,a minha internet está boa e instável mas o aplicativo insiste em carregar sempre que entro no aplicativo,a página inicial está demorando muito pra aparecer os perfis e ainda sim quando aparece está com o perfil todo escuro como se não tivesse carregado",2,1,14/05/2024 18:14,"Estou com problemas para carregar perfis e enviar mensagens,a minha internet está boa e instável mas o aplicativo insiste em carregar sempre que entro no aplicativo,a página inicial está demorando muito pra aparecer os perfis e ainda sim quando aparece está com o perfil todo escuro como se não tivesse carregado"
"meu app não está abrindo , toda vez que o abro ele volta pra forma de app não vejo o bate-papo e nem foto pois não consegui abrir.",5,0,14/05/2024 13:02,"meu app não está abrindo , toda vez que o abro ele volta pra forma de app não vejo o bate-papo e nem foto pois não consegui abrir."
"Essa proliferação de gp no app é muito ruim,ate golpe eles tao dando ,chega na sua casa e sem dizer no app ,chega cobrando pg e tem muito,vc conversar com os cara e dae comeca a palhaçada,sou gp vc curte?se quiser gp entro em varios site ae e contrato ,aqui nao é lugar",1,1,14/05/2024 11:51,"Essa proliferação de gp no app é muito ruim,ate golpe eles tao dando ,chega na sua casa e sem dizer no app ,chega cobrando pg e tem muito,vc conversar com os cara e dae comeca a palhaçada,sou gp vc curte?se quiser gp entro em varios site ae e contrato ,aqui nao é lugar"
"Cada atualização uma novidade ruim, agora não consigo abrir imagens se não estiver conectar em Wi-Fi, e não é problema da minha Internet, pois consigo utilizar todos os outros aplicativos normalmente com todas as funcionalidades.",1,0,14/05/2024 11:15,"Cada atualização uma novidade ruim, agora não consigo abrir imagens se não estiver conectar em Wi-Fi, e não é problema da minha Internet, pois consigo utilizar todos os outros aplicativos normalmente com todas as funcionalidades."
"Experiência péssima. Propagandas excessivas e mentirosas. Agora o Grindr cedou às empresas que usam Neymar e Jojô Toddynho, em inteligência artificial, enganando o povo sobre produtos irreais e jogos fraudulentos. Uma vergonha! Propagandas de mais de 60 segundos. Meu desejo? Que abram falência. Pena que as gays são nervosas e jamais deixariam isso acontecer.",1,1,13/05/2024 16:02,"Experiência péssima. Propagandas excessivas e mentirosas. Agora o Grindr cedou às empresas que usam Neymar e Jojô Toddynho, em inteligência artificial, enganando o povo sobre produtos irreais e jogos fraudulentos. Uma vergonha! Propagandas de mais de 60 segundos. Meu desejo? Que abram falência. Pena que as gays são nervosas e jamais deixariam isso acontecer."
"Assinei porém me arrependi, como não fazem 7 dias ainda quero e devolução do valor.",2,2,13/05/2024 15:58,"Assinei porém me arrependi, como não fazem 7 dias ainda quero e devolução do valor."
"O app já foi bom, hoje em dia é tanto bug e propagando que preciso ir na opção ""fechar todas as abas"" do celular, pois a propagando não fecha. Sem contar que ao sair de uma conversa antiga o histórico atualiza sozinho e volta pras mensagens mais recentes. Até o ""buscar"" na aba conversas foi retirado o que me ajudava encontrar conversas",2,77,13/05/2024 15:20,"O app já foi bom, hoje em dia é tanto bug e propagando que preciso ir na opção ""fechar todas as abas"" do celular, pois a propagando não fecha. Sem contar que ao sair de uma conversa antiga o histórico atualiza sozinho e volta pras mensagens mais recentes. Até o ""buscar"" na aba conversas foi retirado o que me ajudava encontrar conversas"
"O aplicativo desde de sempre sofre com bugs recorrentes. Falha no envio de mensagens, erros de conexão com a internet, demora nas atualizações de distância, atualizações de perfis próximos. Sao problemas velhos e que nunca são solucionados, mesmo com as atualizações.",2,0,13/05/2024 15:14,"O aplicativo desde de sempre sofre com bugs recorrentes. Falha no envio de mensagens, erros de conexão com a internet, demora nas atualizações de distância, atualizações de perfis próximos. Sao problemas velhos e que nunca são solucionados, mesmo com as atualizações."
"Eu vim aqui mudar minha avaliação de 2 para 1 estrela. Eu reclamava que o aplicativo SEMPRE parava de funcionar devido a atualizações desnecessárias. E aí o que a equipe do Grindr resolveu fazer? Lançaram mais uma atualização na qual a única coisa que existe é ""Algo deu errado. Tente novamente mais tarde."" A EQUIPE DE VOCÊS INVENTA PROBLEMA E NÃO RESOLVE OS QUE JÁ EXISTEM. PELO AMOR DE DEUS MUDEM A EQUIPE DE PROGRAMAÇÃO PRA ONTEM!!!",1,15,13/05/2024 15:14,"Eu vim aqui mudar minha avaliação de 2 para 1 estrela. Eu reclamava que o aplicativo SEMPRE parava de funcionar devido a atualizações desnecessárias. E aí o que a equipe do Grindr resolveu fazer? Lançaram mais uma atualização na qual a única coisa que existe é ""Algo deu errado. Tente novamente mais tarde."" A EQUIPE DE VOCÊS INVENTA PROBLEMA E NÃO RESOLVE OS QUE JÁ EXISTEM. PELO AMOR DE DEUS MUDEM A EQUIPE DE PROGRAMAÇÃO PRA ONTEM!!!"
"Vários bugs, mesmo na versão paga está horrível a experiência de uso. Várias vezes tive que desinstalar e instalar dnv pra tentativa voltar a funcionar na normalidade. Por favor foquem em melhorias e resolução de bugs ao invés de só procurar patrocinadores e anúncios.",2,0,13/05/2024 15:12,"Vários bugs, mesmo na versão paga está horrível a experiência de uso. Várias vezes tive que desinstalar e instalar dnv pra tentativa voltar a funcionar na normalidade. Por favor foquem em melhorias e resolução de bugs ao invés de só procurar patrocinadores e anúncios."
"Vive dando problemas esse app, ele já foi bom hoje está péssimo vvive pedindo atualização AFF",2,0,13/05/2024 15:10,"Vive dando problemas esse app, ele já foi bom hoje está péssimo vvive pedindo atualização AFF"
"Péssimo. Bugs constantes. O app não funciona, não me deixa nem visualizar os perfis. Vive voltando pra tela inicial.",1,0,13/05/2024 11:06,"Péssimo. Bugs constantes. O app não funciona, não me deixa nem visualizar os perfis. Vive voltando pra tela inicial."
"Pessimo um monte de menor, pedofilo e estuprador usando o app sem controle e eu 5° Banimento sem motivo algum.",1,1,13/05/2024 04:19,"Pessimo um monte de menor, pedofilo e estuprador usando o app sem controle e eu 5° Banimento sem motivo algum."
Simplesmente é propaganda em cima de propaganda. Demoram mais de dois minutos e quando finalizam e clicamos em uma mensagem e elas voltam a aparecer de novamente. Está abusivo,1,0,12/05/2024 12:38,Simplesmente é propaganda em cima de propaganda. Demoram mais de dois minutos e quando finalizam e clicamos em uma mensagem e elas voltam a aparecer de novamente. Está abusivo
"Ta ruim o grindr, trava , quem tu bloqueia no outro dia esta devolta na grade , e o pior muito chato a cada teclada vem o anuncio do jogo do tigre muito chato .",2,3,12/05/2024 07:44,"Ta ruim o grindr, trava , quem tu bloqueia no outro dia esta devolta na grade , e o pior muito chato a cada teclada vem o anuncio do jogo do tigre muito chato ."
"tá horrível agora, n tá carregando nem as pessoas, entra no app passa uns 30 segundos e volta pra tela inicial",1,0,10/05/2024 21:27,"tá horrível agora, n tá carregando nem as pessoas, entra no app passa uns 30 segundos e volta pra tela inicial"
"O app perde por não dispor de nenhuma funcionalidade gratuita. Oferece somente o básico do básico. Outro ponto negativo que o app poderia solucionar é publicar apenas perfis preenchidos corretamente com o mínimo de informações e com fotos. Muitos só colocam um ponto. Outros a idade. Fica difícil saber se o cara é ativo, passivo ou reflexivo. E para completar retiraram o recurso de backup das conversas. Até entendo porque já quase fui vítima de extorsão. Mas a pessoa poderia ser notificada antes",1,892,10/05/2024 11:11,"O app perde por não dispor de nenhuma funcionalidade gratuita. Oferece somente o básico do básico. Outro ponto negativo que o app poderia solucionar é publicar apenas perfis preenchidos corretamente com o mínimo de informações e com fotos. Muitos só colocam um ponto. Outros a idade. Fica difícil saber se o cara é ativo, passivo ou reflexivo. E para completar retiraram o recurso de backup das conversas. Até entendo porque já quase fui vítima de extorsão. Mas a pessoa poderia ser notificada antes"
Quero saber porque não consigo entrar na minha conta e porque não consigo fazer uma pra usar até a outra voltar ou vou ter quê entrar com um processo.,1,0,09/05/2024 21:58,Quero saber porque não consigo entrar na minha conta e porque não consigo fazer uma pra usar até a outra voltar ou vou ter quê entrar com um processo.
"O APP está ficando horrível estou com um problema faz dias e ninguém me dá retorno o APP simplesmente abre por segundos e fecha automaticamente , não dá pra mandar mensagem ou responder ninguém, a cada atualização um problema diferente , não é problema de celular, conexão ou versão mais recente ,simplesmente não funciona",2,1,09/05/2024 19:36,"O APP está ficando horrível estou com um problema faz dias e ninguém me dá retorno o APP simplesmente abre por segundos e fecha automaticamente , não dá pra mandar mensagem ou responder ninguém, a cada atualização um problema diferente , não é problema de celular, conexão ou versão mais recente ,simplesmente não funciona"
"Cada mês um problema diferente. Todo mês acontece algum bug que te impede de usar bem o aplicativo, agora eles simplesmente tiraram meus recursos de assinante, mesmo com a assinatura estando ativa na PlayStore. Bizarro. Esse aplicativo tá indo ladeira a baixo.",1,1,09/05/2024 07:11,"Cada mês um problema diferente. Todo mês acontece algum bug que te impede de usar bem o aplicativo, agora eles simplesmente tiraram meus recursos de assinante, mesmo com a assinatura estando ativa na PlayStore. Bizarro. Esse aplicativo tá indo ladeira a baixo."
"O meu não está abrindo, assim que chega na página inicial ele sai do aplicativo. Já desinstalei e instalei de novo e continua com esse problema.",1,0,09/05/2024 03:57,"O meu não está abrindo, assim que chega na página inicial ele sai do aplicativo. Já desinstalei e instalei de novo e continua com esse problema."
"Novamente: ""Erro na criação da conta"", tentando de novo: "" uma conta com esse e-mail já foi criada"", tentei entrar: ""Erro na criação de conta"". Cansado de pedir ajuda, tô esperando o suporte pra remover 2 e-mails meu de conta com erro pra tentar novamente e agora um 3 email tá problema. Cansado ja",1,567,08/05/2024 20:04,"Novamente: ""Erro na criação da conta"", tentando de novo: "" uma conta com esse e-mail já foi criada"", tentei entrar: ""Erro na criação de conta"". Cansado de pedir ajuda, tô esperando o suporte pra remover 2 e-mails meu de conta com erro pra tentar novamente e agora um 3 email tá problema. Cansado ja"
O meu fica fechando toda veis que entro por isso que diminuiu na estrela quando voltar funcionar aí eu dou 5,1,0,08/05/2024 17:21,O meu fica fechando toda veis que entro por isso que diminuiu na estrela quando voltar funcionar aí eu dou 5
"Tentei colocar uma foto vestido de bermuda e sem camisa, o app não aceitou dizendo que era nudez completa. Absurdo. Vocês não sabem desenvolver um app que consiga identificar uma pessoa vestida não é? Ali tem muita, muita, muita gente com foto de sunga, muitas outras de cueca, algumas nuas mostrando o instrumento, e eu de bermuda não fui aceito. É só vocês desenvolvedores passear pela página principal que vocês verão. Se uns podem, porque outros não? Que lixo.",1,3,08/05/2024 10:33,"Tentei colocar uma foto vestido de bermuda e sem camisa, o app não aceitou dizendo que era nudez completa. Absurdo. Vocês não sabem desenvolver um app que consiga identificar uma pessoa vestida não é? Ali tem muita, muita, muita gente com foto de sunga, muitas outras de cueca, algumas nuas mostrando o instrumento, e eu de bermuda não fui aceito. É só vocês desenvolvedores passear pela página principal que vocês verão. Se uns podem, porque outros não? Que lixo."
"Muita propaganda intrusiva, as mensagens bugam vicam vermelhas e ñ são enviadas, inumeros bugs, e a localização sempre tem problema. Esse aplicativo nunca sai da fase beta ao que parece",1,0,08/05/2024 06:56,"Muita propaganda intrusiva, as mensagens bugam vicam vermelhas e ñ são enviadas, inumeros bugs, e a localização sempre tem problema. Esse aplicativo nunca sai da fase beta ao que parece"
"Péssimo serviço de atendimento e política de banimento, fui banido por motivo desconhecido ou talvez sem motivo, pode ter sido só pq escrevi ""tenho 16"" assim q enviou fui banido instantaneamente, no entando, sem analizar as mensagens anteriores isso não vai fazer o menor sentido.. sou de maior e me responsabilizo.Caso haja dúvidas poderei provar. Eu entrei em contato com suporte pelo email e simplesmente bateram a porta na cara, não deram nem explicações nem me ajudaram a resolver o problema.",1,1,07/05/2024 21:09,"Péssimo serviço de atendimento e política de banimento, fui banido por motivo desconhecido ou talvez sem motivo, pode ter sido só pq escrevi ""tenho 16"" assim q enviou fui banido instantaneamente, no entando, sem analizar as mensagens anteriores isso não vai fazer o menor sentido.. sou de maior e me responsabilizo.Caso haja dúvidas poderei provar. Eu entrei em contato com suporte pelo email e simplesmente bateram a porta na cara, não deram nem explicações nem me ajudaram a resolver o problema."
"Nao consigo criar uma conta, o aplicativo não tem segurança alguma em relação a preconceitos, vejo muito bullying, racismo, homofobia e xenofobia. Esse app é o fundo do poço.",1,1,07/05/2024 11:53,"Nao consigo criar uma conta, o aplicativo não tem segurança alguma em relação a preconceitos, vejo muito bullying, racismo, homofobia e xenofobia. Esse app é o fundo do poço."
adoro o Grindr muito bom,5,1,07/05/2024 11:53,adoro o Grindr muito bom
"Ficou horrível essa problema que foi bug, não funcionou abrir uma conta, não combina atualizado. Pqp??",1,0,07/05/2024 01:19,"Ficou horrível essa problema que foi bug, não funcionou abrir uma conta, não combina atualizado. Pqp??"
"Cada dia que passa só piora. Agora em tudo que você clica aparece propaganda. É um anúncio atrás do outro. Horrível, horrível, horrível. Sei que os desenvolvedores precisavam de anunciantes pra fazer o dinheiro deles, mas um anúncio em cada lugar ou perfil que você clica, já é fora do normal. Chega ser anti-ético.",1,1,06/05/2024 20:51,"Cada dia que passa só piora. Agora em tudo que você clica aparece propaganda. É um anúncio atrás do outro. Horrível, horrível, horrível. Sei que os desenvolvedores precisavam de anunciantes pra fazer o dinheiro deles, mas um anúncio em cada lugar ou perfil que você clica, já é fora do normal. Chega ser anti-ético."
"Não baixem esse app. Boicote ao Grindr: Somente Lucro em detrimento da experiência do usuário. Conheço vários usuários profundamente desapontados com as recentes mudanças no aplicativo. Estão limitando severamente as funcionalidades essenciais para forçar os usuários a adquirirem a versão paga. Restrições de funcionalidades, preços desproporcionais e problemas técnicos constantes tornam o app insatisfatório. Varios migrando para concorrência, alternativas mais justas e refinadas. Boicote já! 🐾",1,1,06/05/2024 19:29,"Não baixem esse app. Boicote ao Grindr: Somente Lucro em detrimento da experiência do usuário. Conheço vários usuários profundamente desapontados com as recentes mudanças no aplicativo. Estão limitando severamente as funcionalidades essenciais para forçar os usuários a adquirirem a versão paga. Restrições de funcionalidades, preços desproporcionais e problemas técnicos constantes tornam o app insatisfatório. Varios migrando para concorrência, alternativas mais justas e refinadas. Boicote já! 🐾"
"Muito ruim. Estou há meses com problemas no APP. Eu abro e ele fecha. Entrei em contato com o suporte que me passou algumas orientações de configuração, mas está tudo certo. O problema persiste e o suporte não está nem aí. Cansei!",2,1,06/05/2024 18:44,"Muito ruim. Estou há meses com problemas no APP. Eu abro e ele fecha. Entrei em contato com o suporte que me passou algumas orientações de configuração, mas está tudo certo. O problema persiste e o suporte não está nem aí. Cansei!"
"Além de todos os bugs já reportados aqui por outros usuários, vc vai pagar a assinatura e o app não vai ativar a assinatura seja ela qual for, fiz o pagamento dia 27/04 e até agora estou esperando o aplicativo liberar minha assinatura,já entrei em contato com o suporte e até agora só recebi mensagem automática, nada de resolverem o meu problema. Tô ficando cada dia mais decepcionado com o app.",1,5,06/05/2024 11:34,"Além de todos os bugs já reportados aqui por outros usuários, vc vai pagar a assinatura e o app não vai ativar a assinatura seja ela qual for, fiz o pagamento dia 27/04 e até agora estou esperando o aplicativo liberar minha assinatura,já entrei em contato com o suporte e até agora só recebi mensagem automática, nada de resolverem o meu problema. Tô ficando cada dia mais decepcionado com o app."
"assinatura EXTRA paga, mas os benefícios não funcionam. já abri chamados e o problema não foi resolvido até o momento, mais de 10 dias sem os benefícios.",1,0,06/05/2024 10:25,"assinatura EXTRA paga, mas os benefícios não funcionam. já abri chamados e o problema não foi resolvido até o momento, mais de 10 dias sem os benefícios."
Olá não estou conseguindo entrar no meu app ele voltar sozinho não sei o que tá acontecendo,1,1,05/05/2024 16:33,Olá não estou conseguindo entrar no meu app ele voltar sozinho não sei o que tá acontecendo
"Horrível a cada perfil que entra, ao voltar para a página inicial tem anúncio. Muito ruim 😪",1,1,05/05/2024 08:59,"Horrível a cada perfil que entra, ao voltar para a página inicial tem anúncio. Muito ruim 😪"
"Hoje o problema do Grindr é que os anúncios são longos demais e ainda com ""pegadinhas"" que te obrigam a ir pra página do anunciante. Qq assinatura do app é cara. E cada vez mais estão diminuindo ou limitando as funções gratuitas para te obrigar a ter uma assinatura.",1,0,04/05/2024 11:13,"Hoje o problema do Grindr é que os anúncios são longos demais e ainda com ""pegadinhas"" que te obrigam a ir pra página do anunciante. Qq assinatura do app é cara. E cada vez mais estão diminuindo ou limitando as funções gratuitas para te obrigar a ter uma assinatura."
"App cheio de erros, e depois de março, não consigo mais utilizar ele, ele fecha sozinho, e nenhuma das alternativas que consta no site ajudou a solucionar o problema....enfim, talvez o objetivo do app seja cada dia mais piorar a experiência do usuário..",1,3,04/05/2024 09:30,"App cheio de erros, e depois de março, não consigo mais utilizar ele, ele fecha sozinho, e nenhuma das alternativas que consta no site ajudou a solucionar o problema....enfim, talvez o objetivo do app seja cada dia mais piorar a experiência do usuário.."
"O app abre e fecha automático, executei vários procedimentos e até agora não voltou ao normal.",1,1,04/05/2024 07:28,"O app abre e fecha automático, executei vários procedimentos e até agora não voltou ao normal."
"O app tem muita propaganda e não passa a sensação de segurança, visto que tem vários perfis de fora do país oferecendo dinheiro como prováveis sugar daddy. Não existe verificação de segurança para usar o app, o que geralmente é utilizado por outros aplicativos. Eu ia colocad 3 estrelas, mas depois que ler novamente meus pontos, vou diminuir mais uma estrela por hora. Grindr, melhorem! Já passou da hora de vocês se reinventarem.",2,4,03/05/2024 17:31,"O app tem muita propaganda e não passa a sensação de segurança, visto que tem vários perfis de fora do país oferecendo dinheiro como prováveis sugar daddy. Não existe verificação de segurança para usar o app, o que geralmente é utilizado por outros aplicativos. Eu ia colocad 3 estrelas, mas depois que ler novamente meus pontos, vou diminuir mais uma estrela por hora. Grindr, melhorem! Já passou da hora de vocês se reinventarem."
"Olha esse e bom só que quer sexo definitivo se vc quer um relacionamento não estali ,outra tome muito cuidado com quem está conversando não mande nudes aves acontece um assalto um golpista muita coisa ruim pode acontecer Tome muito cuidado converse bem com a pessoa os aplicativos comércio tem que ter segurança cuidado divertimento então reforço q esse aplicativo tem ter muito cuidado 💞",3,3,03/05/2024 16:28,"Olha esse e bom só que quer sexo definitivo se vc quer um relacionamento não estali ,outra tome muito cuidado com quem está conversando não mande nudes aves acontece um assalto um golpista muita coisa ruim pode acontecer Tome muito cuidado converse bem com a pessoa os aplicativos comércio tem que ter segurança cuidado divertimento então reforço q esse aplicativo tem ter muito cuidado 💞"
Precisa só trazer alguns comandos de volta,4,0,03/05/2024 13:23,Precisa só trazer alguns comandos de volta
"App funcionava direito, pediu para atualizar, depois da atualização não consigo entrar mais no app, entra mas aí ele sai e não tem como fazer nada nele, mesmo instalando e desinstalando não funciona, atualizei meu celular achando que era problema com ele mas não é, o app não está abrindo e nada.",1,3,03/05/2024 09:01,"App funcionava direito, pediu para atualizar, depois da atualização não consigo entrar mais no app, entra mas aí ele sai e não tem como fazer nada nele, mesmo instalando e desinstalando não funciona, atualizei meu celular achando que era problema com ele mas não é, o app não está abrindo e nada."
"Minha assinatura ainda nao iniciou, ja mandei mensagem no suporte e nada... app bugado, volta a tela inicial toda vez q vou conversar com alguem...",2,1,03/05/2024 08:49,"Minha assinatura ainda nao iniciou, ja mandei mensagem no suporte e nada... app bugado, volta a tela inicial toda vez q vou conversar com alguem..."
"Resolvam logo esse bug, toda hora que eu entro no aplicativo ele automática mente sai e volta pra tela inicial.",1,1,02/05/2024 23:01,"Resolvam logo esse bug, toda hora que eu entro no aplicativo ele automática mente sai e volta pra tela inicial."
"Muita propapaganda. A cada mensagem que manda e volta pro explorar, você assiste uma publi",1,0,02/05/2024 22:32,"Muita propapaganda. A cada mensagem que manda e volta pro explorar, você assiste uma publi"
"Está difícil de usar esse aplicativo grindr, você baixa o APP, faz o cadastro e não consegue entrar para usufruir. E não tem nada ver com o celular de o APP não está funcionando e sim o próprio APP. Talvez seja um livramento, porque eu tentei baixar agora, desde da última tentativa que já faz 1 ano e continua com mesmo problema. Depois que vi tanto comentário negativos e pontuação baixa, realmente o suporte do APP não dá mínima de atenção.",1,8,02/05/2024 22:30,"Está difícil de usar esse aplicativo grindr, você baixa o APP, faz o cadastro e não consegue entrar para usufruir. E não tem nada ver com o celular de o APP não está funcionando e sim o próprio APP. Talvez seja um livramento, porque eu tentei baixar agora, desde da última tentativa que já faz 1 ano e continua com mesmo problema. Depois que vi tanto comentário negativos e pontuação baixa, realmente o suporte do APP não dá mínima de atenção."
"Ainda não consertaram o problema no aplicativo, não sei se é com todos os Android, mas o app não abre, ele fica caindo assim que logado. Já tentei de tudo, mas não resolve, é algum erro atualização do app. Vocês vão perder muitos usuários.",1,10,02/05/2024 21:53,"Ainda não consertaram o problema no aplicativo, não sei se é com todos os Android, mas o app não abre, ele fica caindo assim que logado. Já tentei de tudo, mas não resolve, é algum erro atualização do app. Vocês vão perder muitos usuários."
"O aplicativo não abre o feed, clico pra ver as mensagens não dá pra responder fica voltando pra caixa de entrada. E do nada fecha. Está impossível utilizar.",1,1,02/05/2024 10:44,"O aplicativo não abre o feed, clico pra ver as mensagens não dá pra responder fica voltando pra caixa de entrada. E do nada fecha. Está impossível utilizar."
"Esse aplicativo é o desenho perfeito da autodestruição e de como não se deve afundar uma ídeia boa em troca de dinheiro. Assinatura Premium é um preço abusivo, as propagandas de cassino online são insuportáveis e não fecham! Você clica pra fechar e todas vezes te redirecionam ao site ilegal de golpista. O aplicativo ficou caro, pesado e totalmente dominado por propagandas. É impossível conversar, o aplicativo atualiza e fica cada dia pior. Espero que a concorrência venha com ideias melhores.",1,1,02/05/2024 05:37,"Esse aplicativo é o desenho perfeito da autodestruição e de como não se deve afundar uma ídeia boa em troca de dinheiro. Assinatura Premium é um preço abusivo, as propagandas de cassino online são insuportáveis e não fecham! Você clica pra fechar e todas vezes te redirecionam ao site ilegal de golpista. O aplicativo ficou caro, pesado e totalmente dominado por propagandas. É impossível conversar, o aplicativo atualiza e fica cada dia pior. Espero que a concorrência venha com ideias melhores."
"Adoro a aplicação mas acho ridículo querer forçar a gente a pagar para utilizar, pois a minha atualizou ontem é agora para ver tap tenho que pagar",1,8,02/05/2024 02:30,"Adoro a aplicação mas acho ridículo querer forçar a gente a pagar para utilizar, pois a minha atualizou ontem é agora para ver tap tenho que pagar"
